region,anzsic_descriptor,anzsic_descriptor2,category,gas,units,magnitude,year,data_val
Waikato,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,8390.82
Waikato,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,8429.56
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,1292.69
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,1280
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,1208.28
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,1207.72
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,1306.72
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,1286.81
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,1248.23
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,1237.15
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,1181.25
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,1140.13
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,1196.85
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,1139.48
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,1209.95
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,1264.54
Wellington,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,1176.22
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,915.06
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,1000.8
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,1115.09
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,1117.81
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,1073.34
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,931.73
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,949.56
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,1006.76
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,959.64
